Identifier,FileName,TranscriptDownloadStatus,TextTranscriptDownloadStatus,AiDownloadStatus
e421fc35-29e6-4aea-83d9-0835533d3030,06_05_2023_rockford_meeting_minutes.mp3,,Succeed,
b1d15622-eb86-4e0f-b9a0-1e40c9431460,06_03_2019_rockford_meeting_minutes.mp3,,Succeed,
7317b3e1-ccf6-4117-8b73-12b80c88cf14,06_04_2018_rockford_meeting_minutes.mp3,,Succeed,
b1bcf8b9-d93f-4b6e-bb9c-159663950eeb,06_05_2017_rockford_meeting_minutes.mp3,,Succeed,
fad9744c-5057-41e5-94e0-075f38ac27c3,06_01_2015_rockford_meeting_minutes.mp3,,Succeed,
fcf1ee2d-fef6-49b9-993c-34865286cf2a,05_21_2018_rockford_meeting_minutes.mp3,,Succeed,
2aa94023-2d0d-4935-b9be-8e994a05cd91,05_30_2023_rockford_meeting_minutes.mp3,,Succeed,
f6ef31db-628c-4ed3-ba5d-ad4a705ec08f,05_31_2022_rockford_meeting_minutes.mp3,,Succeed,
65a61ac2-20d0-42f8-9276-596c9f924bde,05_20_2024_rockford_meeting_minutes.mp3,,Succeed,
32c6cd1e-b5c0-48aa-b2ec-b0a94ae2402f,05_29_2018_rockford_meeting_minutes.mp3,,Succeed,
50226784-dd5d-40c4-b923-519e353042c5,05_18_2020_rockford_meeting_minutes.mp3,,Succeed,
718cd7e9-2f86-4b7e-8628-c3109506c170,05_26_2020_rockford_meeting_minutes.mp3,,Succeed,
90ff6065-60f7-412d-856e-708c8a55842e,05_20_2019_rockford_meeting_minutes.mp3,,Succeed,
0c55936f-252c-43ff-82fe-e5188188f205,05_26_2015_rockford_meeting_minutes.mp3,,Succeed,
791a3f15-dafb-405e-ae9e-dacb8af81088,05_18_2015_rockford_meeting_minutes.mp3,,Succeed,
ad9fb2cb-d726-479b-8241-0924de82faf7,05_24_2021_rockford_meeting_minutes.mp3,,Succeed,
f96f5d44-a995-44df-9137-4759d66169be,05_23_2022_rockford_meeting_minutes.mp3,,Succeed,
52a71283-ffed-452b-8ede-6d63c2ad4721,05_23_2016_rockford_meeting_minutes.mp3,,Succeed,
0264ce2d-3b8f-498e-85b0-eb2cbd917611,05_17_2021_rockford_meeting_minutes.mp3,,Succeed,
820ee696-4e21-4a4d-af7b-4121a55977f2,05_16_2022_rockford_meeting_minutes.mp3,,Succeed,
a0e80a3c-bfb8-4c84-ba48-0c7fdfe12618,05_16_2016_rockford_meeting_minutes.mp3,,Succeed,
81db2b87-b2c6-4e50-85a6-9ca5b0b4cb4e,05_15_2023_rockford_meeting_minutes.mp3,,Succeed,
005a895c-d671-450d-823c-1db515d5cca7,05_07_2018_rockford_meeting_minutes.mp3,,Succeed,
0a08125d-6118-42d3-b2bc-e5b344c64938,05_03_2021_rockford_meeting_minutes.mp3,,Succeed,
909e8507-79ea-4718-8955-fc115e992623,05_04_2020_rockford_meeting_minutes.mp3,,Succeed,
40ca82c2-653e-4c2b-a529-89d4c5abc543,05_15_2017_rockford_meeting_minutes.mp3,,Succeed,
86cdb2b5-6d8d-4f0e-9714-56de528e2236,05_11_2020_rockford_meeting_minutes.mp3,,Succeed,
2a8d3afe-7c78-4a56-a845-d6fd89716e33,05_04_2015_rockford_meeting_minutes.mp3,,Succeed,
