created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text
2024-12-24T18:17:16.000Z,,,,,False,@ntstrong57 So sad. Last I saw he was homeless in [ORGANIZATION]. I truly feel [ORGANIZATION] is partly blame.
2024-12-22T16:54:20.000Z,"New York, USA",,,,True,"RT @Tim_Tweeted: Police in [ORGANIZATION], [PERSON] take a homeless man’s food away for sitting under a tree over a bullshit ordinance [PERSON]…"
2024-12-18T14:52:04.000Z,,,,,False,"“[ORGANIZATION] wants to rezone nearly 10 acres of land along FAC0 for as many as 220 multifamily residential units – at least 176 of which are expected to be income-restricted apartments.”

Source: [URL] [PERSON]"
2024-12-17T06:17:26.000Z,"Fayetteville, AR","Arkansas, USA",United States,admin,False,"Affordable housing is a tough thing to come across in [ORGANIZATION]. That's why a [ORGANIZATION] alumnus turned a motel into an affordable housing complex …and it’s opening soon.

Read more: [URL] [URL]"
2024-12-17T04:00:12.000Z,"Fort Smith - Fayetteville, AR",,,,False,"""Our whole mission is purpose over profit,"" [ORGANIZATION] Manager [PERSON] said. ""We want to do as much as we can to help."" [URL]"
2024-12-17T01:27:03.000Z,,,,,False,"Former motel in [ORGANIZATION] to open as affordable housing complex soon 
Source: [ORGANIZATION] [URL]"
2024-12-15T23:02:51.000Z,,,,,False,"@Mr_DawgMan @cadesmith_3 @sip_central [PERSON] is pretty with the [ORGANIZATION] mountains but, [ORGANIZATION] is [STREET] better than [PERSON] if you are comparing towns! [ORGANIZATION] doesn’t have a bunch of homeless walking around! [PERSON] is getting messy!"
2024-12-13T21:50:33.000Z,Northwest Arkansas,,,,False,HOUSING CRISIS TIMELINE: [ORGANIZATION] ranked second most competitive small rental market in GPE1 [URL]
2024-12-13T00:54:06.000Z,Northwest Arkansas,,,,False,"[ORGANIZATION] leader, expert discuss proposed tariffs amid housing crisis [URL]"
2024-12-12T23:00:01.000Z,"117 Dick St, Fayetteville NC ",,,,False,"Join us DATE0, at [TIME] in FAC0 at [ORGANIZATION] (1225 [PERSON], [ORGANIZATION]) to discuss workforce opportunities for underemployed, re-entering workers, and those facing homelessness.

For more info, visit: [ORGANIZATION] [URL]"
2024-12-10T05:12:26.000Z,,,,,False,Getting fixed [ORGANIZATION] or [LOCATION] or DATE2. But with yall three men I know there a possibility. I worry what in the water in [ORGANIZATION] nc the home of fort PERSON0. [PERSON] need to be investigated for other reason as well. Trash laying everywhere and homeless bad and
2024-12-06T13:00:10.000Z,"Fayetteville, NC",,,,False,Construction of the future FAC0 in [ORGANIZATION] will have an impact to some of the city's unhoused residents. [URL]
2024-12-04T22:27:59.000Z,occupied Turtle Island. ,,,,True,"[PERSON] presbyterian lady pastor who came to encampment in [ORGANIZATION], [PERSON] straight up lied to my face about providing help. 
Her 5…"
2024-12-04T21:19:59.000Z,"Stolen land, Imperial Core",,,,False,"Local presbyterian lady pastor who came to encampment in [ORGANIZATION], [PERSON] straight up lied to my face about providing help. 
Her [ORGANIZATION] used my info to help city breakup encampment after I refused to accept placement in a $200 p/month [INSTITUTION] in GPE2, [PERSON]. [URL]"
2024-12-04T16:22:52.000Z,,,,,True,RT @The_Shumater: Winds of change in [ORGANIZATION]: [ORGANIZATION] ousts incumbent PERSON1 in mayor's race on platform focused on the cit…
2024-12-04T16:15:00.000Z,Little Rock AR,,,,False,"Winds of change in [ORGANIZATION]: [ORGANIZATION] ousts incumbent PERSON1 in mayor's race on platform focused on the city's housing crisis, improving public transit. [ORGANIZATION] reports.
#[PERSON] #arpx #arnews [URL]"
2024-11-28T20:28:31.000Z,"Fayetteville, AR",,,,True,"RT @JoshfromAR: In the Mayor’s race, [ORGANIZATION] incumbent [ORGANIZATION] faced [PERSON], the CEO of [ORGANIZATION], the City’s tour…"
2024-11-28T03:27:54.000Z,Northwest Ark. ↔️ Northern Va.,,,,True,"RT @JoshfromAR: In the Mayor’s race, [ORGANIZATION] incumbent [ORGANIZATION] faced [PERSON], the CEO of [ORGANIZATION], the City’s tour…"
2024-11-25T13:14:43.000Z,,,,,False,Investing in affordable housing on FAC0 means investing in [ORGANIZATION]’s future. Let’s make sure everyone has a safe [STREET] to call home. #AffordableHousingNow
2024-11-25T13:11:04.000Z,,,,,False,"The FAC0 area of [ORGANIZATION] has a growing homelessness problem, but lack of public transportation is keeping many people stuck. Let’s work together to fix this. #[PERSON] #[ORGANIZATION]"
2024-11-25T05:26:15.000Z,,,,,False,"[ORGANIZATION] aims to provide affordable housing, grocery stores, and health services in the area. Let’s make sure these plans bring real change for local residents. #CommunityRevitalization REF:[ORGANIZATION] Reports"
