created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text
2024-12-27T23:29:56.000Z,United States,"Mishawaka, IN",United States,city,False,homeless,"[USER] [USER] I don't see any funny about it. I couldn't care less if [ORGANIZATION] had Trillions or was homeless. A man is worthless without respect. Playing games with someone's income might be funny for some, I guess, even if it was just for [TIME]. Very disrespectful &amp; disappointing."
2024-12-26T21:00:03.000Z,"South Bend, IN",,,,False,,"Developer adds [PERSON] building to ORG1 plan for housing, retail and green space as well as address food insecurity. READI money awarded. [ORGANIZATION]"
2024-12-26T11:30:06.000Z,"South Bend, IN",,,,False,,"Developer adds [PERSON] building to ORG1 plan for housing, retail and green space as well as address food insecurity. READI money awarded. [URL]"
2024-12-25T00:41:42.000Z,United State,,,,True,,"[ORGANIZATION]: I’ve been a war protestor, progressive organizer, water protector, congressional campaign director, women’s rights &amp; radi…"
2024-12-20T15:27:43.000Z,The Goat House,,,,False,homeless,"[USER] Even with the homeless in the middle of FAC0, [ORGANIZATION] is such a shit hole with the [ORGANIZATION]’s WORST stadium."
2024-12-19T03:08:11.000Z,"Granger, IN","Granger, IN",United States,city,False,affordable housing,"[USER] [USER] Actually, I think this is a cool idea. Like dorm-style living, but for adults. If it revitalizes mall space, helps local businesses, alleviates a shortage of affordable housing (especially for young adults or seniors) and ISN'T MANDATED BY THE GOVERNMENT, I say go for it!"
2024-12-18T23:25:14.000Z,"Bristol, IN.",,,,False,homeless,"A huge shoutout to [ORGANIZATION]'s ORG1 for their generosity and hard work! They donated 19 sets of hats, gloves, and scarves to help keep the children at [ORGANIZATION] ORG2 warm [ORGANIZATION]. 💙 [URL]"
2024-12-14T02:16:47.000Z,"South Bend, IN",,,,True,homeless,"RT [USER]: ☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]"
2024-12-14T01:12:32.000Z,"South Bend, IN",,,,False,homeless,"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

[TIME]: They advised this was NOT a car that rolled over. Sounds like they said  “cart”. The patient is alert.

#SouthBend [URL]"
2024-12-14T01:08:37.000Z,"South Bend, IN",,,,True,homeless,"RT [USER]: ☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]"
2024-12-13T12:40:07.000Z,"Atlanta, GA",,,,True,"homeless, homelessness",RT [USER]: PERSON0 You really want to go there with your “husbands” record on homelessness in [ORGANIZATION]?
2024-12-13T10:54:26.000Z,🇺🇸 🇺🇸🇺🇸,,,,True,"homeless, homelessness",RT [USER]: PERSON0 You really want to go there with your “husbands” record on homelessness in [ORGANIZATION]?
2024-12-13T01:52:24.000Z,,,,,False,homeless,[USER] [USER] dey lucky i aint [ORGANIZATION] i be eating like a homeless man that aint ate in [ORGANIZATION]
2024-12-13T01:25:42.000Z,,,,,False,"homeless, homelessness",PERSON0 You really want to go there with your “husbands” record on homelessness in [ORGANIZATION]?
2024-12-11T16:06:31.000Z,"Indianapolis, IN",,,,True,homeless,"RT [USER]: ☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]"
2024-12-11T16:03:37.000Z,,,,,True,homeless,"RT [USER]: ☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]"
2024-12-10T12:33:29.000Z,,,,,False,"homeless, homelessness",[USER] [USER] [USER] Homelessness is big business in [ORGANIZATION] and cities and counties all around us send their homeless here. Now it’s a massive problem and no one wants to go downtown because it’s been overrun by homeless people. The mayor puts them in hotels. They don’t want to go to the shelters
2024-12-10T12:21:41.000Z,"Indiana, USA",,,,False,homeless,[USER] so my question is can we show at least a *LITTLE* bit of interest in [ORGANIZATION]'s homeless feat. addicted and mentally ill population? Like my personal idea was previously a recorded sit-down discussion between certain members of the [ORGANIZATION] and specific members of-
2024-12-10T11:17:01.000Z,,,,,True,homeless,"RT [USER]: ☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]"
2024-12-10T01:36:27.000Z,"Sioux City, IA",,,,True,homeless,"RT [USER]: Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the po…"
2024-12-09T22:42:25.000Z,,,,,False,homeless,"🎄Christmas Giving🎄 kickoff pod with [USER], talking playoff committee, [ORGANIZATION] gaslighting, [ORGANIZATION] and a lot more.

Listen: [ORGANIZATION] to ORG1 in [PERSON]: [URL] [URL]"
2024-12-09T20:13:45.000Z,,,,,True,homeless,"RT [USER]: ☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]"
2024-12-09T19:12:48.000Z,,,,,True,homeless,"RT [USER]: ☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]"
2024-12-09T19:12:26.000Z,,,,,False,homeless,"Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the poor, and your kindness is especially appreciated during the frigid [ORGANIZATION]. [URL]"
2024-12-09T18:30:06.000Z," 8° 46′ 48″ N, 82° 26′ W ",,,,True,homeless,"RT [USER]: ☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]"
2024-12-09T13:23:03.000Z,"Kirkwood, MO",,,,True,homeless,"RT [USER]: ☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]"
2024-12-09T13:13:06.000Z,,,,,True,homeless,"RT [USER]: ☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]"
2024-12-09T13:12:54.000Z,,,,,False,homeless,"☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]

Additional details: [URL] [URL]"
2024-12-09T02:50:41.000Z,USA,,,,True,,"[ORGANIZATION]: I’ve been a war protestor, progressive organizer, water protector, congressional campaign director, women’s rights &amp; radi…"
2024-12-07T18:42:24.000Z,,,,,False,homeless,[USER] Sandwiches for the many homeless in [PERSON].
2024-12-06T22:33:16.000Z,USA ,,,,False,affordable housing,PERSON0 You couldn’t even fill the potholes in [ORGANIZATION]. You forced Americans out of jobs and affordable housing to favor illegals. [ORGANIZATION] is still a shithole.
2024-12-06T01:30:06.000Z,"South Bend, Indiana",,,,False,,The luncheon also gives a platform for people to tell their stories. [PERSON]
2024-12-05T21:47:58.000Z,"South Bend, IN","South Bend, IN",United States,city,False,unhoused,"Thanks to [ORGANIZATION] for inviting [USER] [ORGANIZATION]amp; I to join your table at the [USER] [ORGANIZATION]. After an especially cold night, it was wonderful to be surrounded by the warmth of many individuals who support caring for our unhoused neighbors. [PERSON]"
2024-12-05T04:08:36.000Z,"South Bend, IN",,,,False,homeless,"FAC0amp; FAC1 ([ORGANIZATION])

[PERSON] 

Caller requesting a welfare check on a homeless male who seems to be in distress. Caller advising the male is at the gas station.

#[PERSON]"
2024-12-05T01:46:18.000Z,"South Bend, IN",,,,False,homeless,"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

#SouthBend"
2024-12-02T14:24:41.000Z,,,,,True,homeless,[ORGANIZATION]: PERSON1 Have you researched how PERSON2 treated the homeless in [ORGANIZATION] during his two terms? The [STREET]…
2024-12-02T03:01:06.000Z,United States,,,,False,homeless,PERSON0 Have you researched how [PERSON] treated the homeless in [ORGANIZATION] during his two terms? [ORGANIZATION] swept encampments under a downtown overpass more than once and everything got trashed.
