id,text,created_at,author_id,user_location,tweet_geo,tweet_country,place_type
1873510320217768060,RT @RealSamFaddis: Tell me again why Scranton wants Biden's name on its street signs. https://t.co/1pAjjYdC5U,2024-12-29T23:24:03.000Z,360275450,Somewhere I don't want to be,,,
1873485830976860238,RT @RealSamFaddis: Tell me again why Scranton wants Biden's name on its street signs. https://t.co/1pAjjYdC5U,2024-12-29T21:46:44.000Z,1679904696457101327,"Space Coast, FL USA Earth",,,
1873485712638808318,RT @RealSamFaddis: Tell me again why Scranton wants Biden's name on its street signs. https://t.co/1pAjjYdC5U,2024-12-29T21:46:16.000Z,1789474440406839296,,,,
1873482414124831213,Tell me again why Scranton wants Biden's name on its street signs. https://t.co/1pAjjYdC5U,2024-12-29T21:33:09.000Z,344978883,"Pennsylvania, USA",,,
1872774725040218339,"RT @BourbonWayne: @JDunlap1974 Good old Scranton @JoeBiden did that. In between his 532 vacation days. 

You’re Welcome Homeless folks! htt…",2024-12-27T22:41:03.000Z,1673377780199833620,United States,,,
1872774697626341613,"@JDunlap1974 Good old Scranton @JoeBiden did that. In between his 532 vacation days. 

You’re Welcome Homeless folks! https://t.co/Tlyzca22WD",2024-12-27T22:40:57.000Z,1673377780199833620,United States,,,
1871327474518561158,"@WallStreetApes Oh my “F’ING” —-, R U kidding me?  What about the HOMELESS AMERICANS that move from Shelter to Shelter?  Really, THIS HAS GOT TO BE A JOKE…. Tell me it isn’t so Joey from Scranton, tell me it isn’t so…. UNFRICKENUNBELIEVABLE",2024-12-23T22:50:12.000Z,1028842423097556993,,,,
1867426749186715932,"A homeless shelter in Lackawanna County is back open and just in time for some of the coldest temperatures of the season.
https://t.co/QF7PNLZB9z",2024-12-13T04:30:06.000Z,55259165,Northeast PA,,,
1863435003339968873,"@POTUS Scranton Joe please do not go to Angola, it’s a waste of taxpayer money. Use that money for homeless veterans please! https://t.co/46nb8ErIoq",2024-12-02T04:08:20.000Z,797842570889920512,,,,
1863434810414465106,"@POTUS Scranton Joe please do not go to Angola, it’s a waste of taxpayer money. Use that money for homeless veterans please! https://t.co/Mr9HLfhBR8",2024-12-02T04:07:34.000Z,797842570889920512,,,,
